sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,alt_size_1,alt_size_2,alt_size_3,alt_size_4,artist_first_name,artist_last_name,canvas,color,color_tone,cost,country_of_manufacture,created_at,created_by,custom_design,custom_design_from,custom_design_to,custom_layout_update,date_created,date_expired,date_modified,description,discontinued,do_not_display,embellishments,enable_googlecheckout,format,frame,gallery,gift_message_available,has_options,image,image_label,image_size_cm,image_size_inches,keywords,llc_stock_7_17_12,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,modified_by,mount,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,no_canvas,options_container,over_size,page,page_layout,page_size_cm,paper_quality,paper_size_inches,pod,pod_only,price,required_options,short_description,size,size_category,small_image,small_image_label,special_from_date,special_price,special_to_date,srl_stock_7_14_12,status,tax_class_id,thumbnail,thumbnail_label,title,total_quantity_on_hand,udf_anycustom,udf_artist_name,udf_copyright,udf_crline,udf_decal,udf_dnd,udf_embellished,udf_framed,udf_imsource,udf_limited,udf_maxsf,udf_new,udf_osdp,udf_photopaper,udf_poster,udf_pricecode,udf_rag,udf_ratiocode,udf_specpaper,udf_tar,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort
"ACS 5776",,"Topart - Products",simple,"Collections/Oversize Variety","Root Category",base,,,,,ANNA,CASEY,,Yellow,"Warm Palette",,,"2012-10-05 23:59:15",TopArt,,,,,"2008-02-01 00:00:00","2010-12-31 00:00:00","2009-10-31 00:00:00","The Arrangement I",No,No,,1,,,,,0,/A/C/ACS_5776_10.jpg,"The Arrangement I","50 x 60","19 5/8 x 23 5/8","yellow, brown, tan, gold, white, vase, green, stem, arrangement, flower, floral, Preview 2008",145.0,,,"The Arrangement I","yellow, brown, tan, gold, white, vase, green, stem, arrangement, flower, floral, Preview 2008","The Arrangement I",,,,,"Use config","Use config","The Arrangement I",,,No,"Block after Info Column",No,No,,"50 x 60",,"19 5/8 x 23 5/8",No,No,30.0000,0,"The Arrangement I",,Medium,/A/C/ACS_5776_10.jpg,"The Arrangement I",,,,575,1,0,/A/C/ACS_5776_10.jpg,"The Arrangement I","The Arrangement I",,,,,,,,,,,,,,,,,,,,,,"2012-10-09 20:37:43",the-arrangement-i,the-arrangement-i,4,1.0000,0.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,0,,0,0,0,1,0,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/A/C/ACS_5776_2.jpg,"The Arrangement I",1,0,,,,,,,,,,,,
,,,,,,,,,,,,,,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/C/ACS_5776_3.jpg,"The Arrangement I",2,0,,,,,,,,,,,,
,,,,,,,,,,,,,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/C/ACS_5776_4.jpg,"The Arrangement I",3,0,,,,,,,,,,,,
,,,,,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/C/ACS_5776_5.jpg,"The Arrangement I",4,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/C/ACS_5776_6.jpg,"The Arrangement I",5,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/C/ACS_5776_7.jpg,"The Arrangement I",6,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/C/ACS_5776_8.jpg,"The Arrangement I",7,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/C/ACS_5776_9.jpg,"The Arrangement I",8,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/C/ACS_5776_10.jpg,"The Arrangement I",9,0,,,,,,,,,,,,
"ACS 5777",,"Topart - Products",simple,"Collections/Oversize Variety","Root Category",base,,,,,ANNA,CASEY,,Yellow,"Warm Palette",,,"2012-10-05 23:59:15",TopArt,,,,,"2008-02-01 00:00:00","2010-12-31 00:00:00","2009-10-31 00:00:00","The Arrangement II",No,No,,1,,,,,0,/A/C/ACS_5777_10.jpg,"The Arrangement II","50 x 60","19 5/8 x 23 5/8","yellow, brown, tan, gold, white, vase, green, stem, arrangement, flower, floral, Preview 2008",133.0,,,"The Arrangement II","yellow, brown, tan, gold, white, vase, green, stem, arrangement, flower, floral, Preview 2008","The Arrangement II",,,,,"Use config","Use config","The Arrangement II",,,No,"Block after Info Column",No,No,,"50 x 60",,"19 5/8 x 23 5/8",No,No,30.0000,0,"The Arrangement II",,Medium,/A/C/ACS_5777_10.jpg,"The Arrangement II",,,,570,1,0,/A/C/ACS_5777_10.jpg,"The Arrangement II","The Arrangement II",,,,,,,,,,,,,,,,,,,,,,"2012-10-09 20:37:54",the-arrangement-ii,the-arrangement-ii,4,1.0000,0.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,0,,0,0,0,1,0,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/A/C/ACS_5777_2.jpg,"The Arrangement II",1,0,,,,,,,,,,,,
