Image Source,Product Description,Sku  Code,Size Code,Size Description,UI,Printed Substrate Length,Printed Substrate Width,Printed Substrate    Sq Ft,Image Sq In,Image Sq Ft,Ratio,Decimal Ratio,Size,Length,Width,Product Description,Sku Code,Rolled Canvas White Border - Estimated Cost,Rolled Canvas White Border -  Estimated Retail,Rolled Canvas White Border - UI Retail,Rolled Canvas White Border -  TAR UI Cost,,Product Description,Sku Code,Size Code,"Rolled Canvas with 2"" Black Border - UI","Rolled Canvas 2"" Black Border - Estimated Cost","Rolled Canvas 2"" Black Border - Estimated Retail","Rolled Canvas 2"" Black Border - UI Retail","Rolled Canvas 2"" Black Border - TAR UI Cost",,Product Description,Sku Code,Size Code,"Rolled Canvas with 2"" Mirrored Border - UI","Rolled Canvas 2"" Mirror Border - Estimated Cost","Rolled Canvas 2"" Mirror Border -  Estimated Retail","Rolled Canvas 2"" Mirror - UI Retail","Rolled Canvas 2"" Mirror - TAR UI Cost",,
San Diego,Giclee Print on Canvas,CV,M,Medium,38,10,42,2.92,133,0.92,1:8.5,0.12,4 x 33.25,4,33.25,"Canvas Giclee Print with 3"" White Border",WH,23.83,$79.42,$2.09,$0.627,,"Canvas Giclee Print with 2"" Black Border",CVBL,M,42,26.33,$87.78,$2.09,$0.627,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,42,31.05,$103.49,$2.46,$0.739,,
San Diego,Giclee Print on Canvas,CV,L,Large,48,11,50,3.82,213,1.48,1:8.5,0.12,5 x 42.5,5,42.5,"Canvas Giclee Print with 3"" White Border",WH,31.68,$105.60,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,L,52,34.32,$114.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,L,52,40.33,$134.42,$2.59,$0.776,,
San Diego,Giclee Print on Canvas,CV,O,Oversize,57,12,60,5.00,306,2.13,1:8.5,0.12,6 x 51,6,51,"Canvas Giclee Print with 3"" White Border",WH,45.14,$150.48,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,61,48.31,$161.04,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,61,55.16,$183.85,$3.01,$0.904,,
San Diego,Giclee Print on Canvas,CV,X,Oversize Large,67,24,66,11.00,417,2.89,1:8.5,0.12,7 x 59.5,7,59.5,"Canvas Giclee Print with 3"" White Border",WH,57.49,$191.62,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,X,71,60.92,$203.06,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,X,71,69.35,$231.18,$3.26,$0.977,,
San Diego,Giclee Print on Canvas,CV,C,Custom,,,,,,,1:8.5,0.12,9 x 75,9,75,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
San Diego,Giclee Print on Canvas,CV,M,Medium,38,10,42,2.92,192,1.33,,0.14,6 x 32,6,32,"Canvas Giclee Print with 3"" White Border",WH,23.83,$79.42,$2.09,$0.627,,"Canvas Giclee Print with 2"" Black Border",CVBL,M,42,26.33,$87.78,$2.09,$0.627,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,42,31.05,$103.49,$2.46,$0.739,,
San Diego,Giclee Print on Canvas,CV,L,Large,48,14,50,4.86,300,2.08,,0.14,7.5 x 40,7.5,40,"Canvas Giclee Print with 3"" White Border",WH,31.68,$105.60,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,L,52,34.32,$114.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,L,52,40.33,$134.42,$2.59,$0.776,,
San Diego,Giclee Print on Canvas,CV,O,Oversize,64,16,60,6.67,540,3.75,,0.14,10 x 54,10,54,"Canvas Giclee Print with 3"" White Border",WH,50.69,$168.96,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,68,53.86,$179.52,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,68,61.49,$204.95,$3.01,$0.904,,
San Diego,Giclee Print on Canvas,CV,C,Custom,,,,,,,,0.14,13 x 70,13,70,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
San Diego,Giclee Print on Canvas,CV,M,Medium,43,12,50,4.17,222,1.54,,0.16,6 x 37,6,37,"Canvas Giclee Print with 3"" White Border",WH,26.96,$89.87,$2.09,$0.627,,"Canvas Giclee Print with 2"" Black Border",CVBL,M,47,29.47,$98.23,$2.09,$0.627,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,47,34.74,$115.81,$2.46,$0.739,,
