Image Source,Product Description,Sku Code,Size Code,Size Description,UI,Printed Substrate Length,Printed Substrate Width,Printed Substrate    Sq Ft,Image Sq In,Image Sq Ft,Ratio,Decimal Ratio,Standard Size & Maximum Custom Size,Length,Width,Estimated Cost,Rolled Paper - Estimated Retail,Rolled Paper - UI Retail,Rolled Paper - TAR UI Cost
San Diego,Giclee Print On Paper,PR,M,Medium,38,6,36,1.50,133,0.92,1:8.5,0.12,4 x 33.25,4,33.25,$16.93,$56.43,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,48,7,50,2.43,213,1.48,1:8.5,0.12,5 x 42.5,5,42.5,$21.38,$71.28,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,57,8,60,3.33,306,2.13,1:8.5,0.12,6 x 51,6,51,$27.27,$90.92,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,X,Oversize Large,67,62,24,10.33,417,2.89,1:8.5,0.12,7 x 59.5,7,59.5,$34.27,$114.24,$1.71,$0.512
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,1:8.5,0.12,8 x 68,8,68,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,M,Medium,38,8,36,2.00,192,1.33,,0.14,6 x 32,6,32,$16.93,$56.43,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,48,10,42,2.77,300,2.08,,0.14,7.5 x 40,7.5,40,$21.16,$70.54,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,64,12,60,5.00,540,3.75,,0.14,10 x 54,10,54,$30.62,$102.08,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.14,13 x 70,13,70,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,M,Medium,43,8,42,2.33,222,1.54,,0.16,6 x 37,6,37,$19.16,$63.86,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,54,10,50,3.47,345,2.40,,0.16,7.5 x 46,7.5,46,$23.83,$79.45,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,63,11,60,4.58,473,3.28,,0.16,8.25 x 51,8.75,54,$30.03,$100.09,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.16,12 x 74,12,74,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,S,Small,42,8,42,2.33,216,1.50,1:6,0.17,6 x 36,6,36,$18.71,$62.37,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,49,9,50,3.13,294,2.04,1:6,0.17,7 x 42,7,42,$21.83,$72.77,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,56,10,50,3.47,384,2.67,1:6,0.17,8 x 48,8,48,$24.95,$83.16,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,63,11,60,4.58,486,3.38,1:6,0.17,9 x 54,9,54,$30.15,$100.49,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,1:6,0.17,12 x 72,12,72,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,S,Small,38,8,36,2.00,784,1.33,,0.18,6 x 32,6,32,$16.93,$56.43,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,48,10,42,2.77,300,2.08,,0.18,7.5 x 40,7.5,40,$21.16,$70.54,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,57,11,50,3.82,432,3.00,,0.18,9 x 48,9,48,$25.39,$84.65,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,67,13,60,5.21,588,4.08,,0.18,10.5 x 56,10.5,56,$31.82,$106.07,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.18,13.5 x 72,13.5,72,,,$1.76,$0.528
