"sku","_store","_attribute_set","_type","_category","_root_category","_product_websites","alt_size_1","alt_size_2","alt_size_3","alt_size_4","color","cost","country_of_manufacture","created_at","created_by","custom_design","custom_design_from","custom_design_to","custom_layout_update","date_created","date_expired","date_modified","description","embellishments","enable_googlecheckout","format","gallery","gift_message_available","has_options","image","image_label","udf_image_size_cm","udf_image_size_in","manufacturer","media_gallery","meta_description","meta_keyword","meta_title","minimal_price","modified_by","msrp","msrp_display_actual_price_type","msrp_enabled","name","news_from_date","news_to_date","options_container","udf_oversize","page","page_layout","udf_paper_size_in","udf_paper_size_cm","udf_a4pod","price","required_options","short_description","size_category","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","title","total_quantity_on_hand","udf_anycustom","udf_artist_name","udf_copyright","udf_crimage","udf_crline","udf_dnd","udf_embellished","udf_framed","udf_imsource","udf_limited","udf_maxsfcm","udf_maxsfin","udf_new","udf_osdp","udf_pricecode","udf_ratiodec","udf_specpaper","udf_tar","updated_at","url_key","url_path","visibility","weight","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","_links_related_sku","_links_related_position","_links_crosssell_sku","_links_crosssell_position","_links_upsell_sku","_links_upsell_position","_associated_sku","_associated_default_qty","_associated_position","_tier_price_website","_tier_price_customer_group","_tier_price_qty","_tier_price_price","_group_price_website","_group_price_customer_group","_group_price_price","_media_attribute_id","_media_image","_media_lable","_media_position","_media_is_disabled","_custom_option_store","_custom_option_type","_custom_option_title","_custom_option_is_required","_custom_option_price","_custom_option_sku","_custom_option_max_characters","_custom_option_sort_order","_custom_option_row_title","_custom_option_row_price","_custom_option_row_sku","_custom_option_row_sort","udf_canvas","udf_largeos","udf_eco","udf_fmaxslscm","udf_fmaxslsin","udf_fmaxsssin","udf_fmaxssxcm","udf_colorcode","udf_framecat","udf_prisubnsubcat","udf_pricolor","udf_pristyle","udf_rooms","udf_artshop","udf_artshopi","udf_artshopl","udf_nollcavail","udf_llcroy","udf_royllcval","udf_custom_size","udf_orientation","udf_decal","udf_f_m_avail_4_canvas","udf_f_m_avail_4_paper","udf_large","udf_medium","udf_petite","udf_small","udf_moulding_width","udf_photopaper","udf_poster","primary_vendor_no","udf_ratiocode","udf_rag","udf_metallic_ink","udf_foil","udf_serigraph","udf_embossed","udf_entitytype"
"F4L001O3",,"Topart - Products","simple",,,,,,,,,,,,,,,,,,,,"3in. Navy Oversize Top Mat",,,,,,,,,,,,,,,,,,,,,"3in. Navy Oversize Top Mat",,,,,,,,,,"0.0",,"3in. Navy Oversize Top Mat",,,,,,,"1","2",,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No","0.0","54.0","34.0","0.0","#495678","MatsColorOS",,,,,,,,,,,,,,"No","Yes",,,,,"3.0",,,"F21066",,,,,,,"Mat"
"F4L001R2",,"Topart - Products","simple",,,,,,,,,,,,,,,,,,,,"2in. Navy Top Mat",,,,,,,,,,,,,,,,,,,,,"2in. Navy Top Mat",,,,,,,,,,"0.0",,"2in. Navy Top Mat",,,,,,,"1","2",,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No","0.0","40.0","28.0","0.0","#495678","MatsColor",,,,,,,,,,,,,,"No","Yes",,,,,"2.0",,,"F21066",,,,,,,"Mat"
"F4L001R3",,"Topart - Products","simple",,,,,,,,,,,,,,,,,,,,"3in. Navy Top Mat",,,,,,,,,,,,,,,,,,,,,"3in. Navy Top Mat",,,,,,,,,,"0.0",,"3in. Navy Top Mat",,,,,,,"1","2",,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No","0.0","38.0","26.0","0.0","#495678","MatsColor",,,,,,,,,,,,,,"No","Yes",,,,,"3.0",,,"F21066",,,,,,,"Mat"
"F4L006O3",,"Topart - Products","simple",,,,,,,,,,,,,,,,,,,,"3in.  Merlot Oversize Top Mat",,,,,,,,,,,,,,,,,,,,,"3in.  Merlot Oversize Top Mat",,,,,,,,,,"0.0",,"3in.  Merlot Oversize Top Mat",,,,,,,"1","2",,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No","0.0","54.0","34.0","0.0","#8a5262","MatsColorOS",,,,,,,,,,,,,,"No","Yes",,,,,"3.0",,,"F21066",,,,,,,"Mat"
"F4L006R2",,"Topart - Products","simple",,,,,,,,,,,,,,,,,,,,"2in. Merlot Top Mat",,,,,,,,,,,,,,,,,,,,,"2in. Merlot Top Mat",,,,,,,,,,"0.0",,"2in. Merlot Top Mat",,,,,,,"1","2",,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No","0.0","40.0","28.0","0.0","#8a5262","MatsColor",,,,,,,,,,,,,,"No","Yes",,,,,"2.0",,,"F21066",,,,,,,"Mat"
"F4L006R3",,"Topart - Products","simple",,,,,,,,,,,,,,,,,,,,"3in. Merlot Top Mat",,,,,,,,,,,,,,,,,,,,,"3in. Merlot Top Mat",,,,,,,,,,"0.0",,"3in. Merlot Top Mat",,,,,,,"1","2",,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No","0.0","38.0","26.0","0.0","#8a5262","MatsColor",,,,,,,,,,,,,,"No","Yes",,,,,"3.0",,,"F21066",,,,,,,"Mat"
"F4L014R2",,"Topart - Products","simple",,,,,,,,,,,,,,,,,,,,"2in. Sterling Gray Top Mat",,,,,,,,,,,,,,,,,,,,,"2in. Sterling Gray Top Mat",,,,,,,,,,"0.0",,"2in. Sterling Gray Top Mat",,,,,,,"1","2",,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No","0.0","40.0","28.0","0.0","#b3bfc9","MatsColor",,,,,,,,,,,,,,"No","Yes",,,,,"2.0",,,"F21066",,,,,,,"Mat"
"F4L014R3",,"Topart - Products","simple",,,,,,,,,,,,,,,,,,,,"3in. Sterling Gray Top Mat",,,,,,,,,,,,,,,,,,,,,"3in. Sterling Gray Top Mat",,,,,,,,,,"0.0",,"3in. Sterling Gray Top Mat",,,,,,,"1","2",,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No","0.0","38.0","26.0","0.0","#b3bfc9","MatsColor",,,,,,,,,,,,,,"No","Yes",,,,,"3.0",,,"F21066",,,,,,,"Mat"
"F4L015O3",,"Topart - Products","simple",,,,,,,,,,,,,,,,,,,,"3in. Zucchini Oversize Top Mat",,,,,,,,,,,,,,,,,,,,,"3in. Zucchini Oversize Top Mat",,,,,,,,,,"0.0",,"3in. Zucchini Oversize Top Mat",,,,,,,"1","2",,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No","0.0","54.0","34.0","0.0","#6e782e","MatsColorOS",,,,,,,,,,,,,,"No","Yes",,,,,"3.0",,,"F21066",,,,,,,"Mat"
"F4L017R2",,"Topart - Products","simple",,,,,,,,,,,,,,,,,,,,"2in. Steel Blue Top Mat",,,,,,,,,,,,,,,,,,,,,"2in. Steel Blue Top Mat",,,,,,,,,,"0.0",,"2in. Steel Blue Top Mat",,,,,,,"1","2",,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No","0.0","40.0","28.0","0.0","#7387a7","MatsColor",,,,,,,,,,,,,,"No","Yes",,,,,"2.0",,,"F21066",,,,,,,"Mat"
